województwo;gmina;TERYT gminy;podano;liczba uprawnionych;liczba wydanych kart
dolnośląskie;m. Bolesławiec;"=""020101""";21;30475;10060
dolnośląskie;gm. Bolesławiec;"=""020102""";11;11034;778
dolnośląskie;gm. Gromadka;"=""020103""";4;4574;2100
dolnośląskie;gm. Nowogrodziec;"=""020104""";11;11992;6600
dolnośląskie;gm. Osiecznica;"=""020105""";7;5491;2919
dolnośląskie;gm. Warta Bolesławiecka;"=""020106""";6;6989;4655
dolnośląskie;m. Bielawa;"=""020201""";21;25354;4823
dolnośląskie;m. Dzierżoniów;"=""020202""";21;27737;9097
dolnośląskie;m. Pieszyce;"=""020203""";7;7672;1828
dolnośląskie;m. Piława Górna;"=""020204""";3;5338;1000
dolnośląskie;gm. Dzierżoniów;"=""020205""";12;7724;4688
dolnośląskie;gm. Łagiewniki;"=""020206""";6;6111;2916
dolnośląskie;gm. Niemcza;"=""020207""";6;4769;711
dolnośląskie;m. Głogów;"=""020301""";35;54159;16115
dolnośląskie;gm. Głogów;"=""020302""";4;9297;3300
dolnośląskie;gm. Jerzmanowa;"=""020303""";4;3590;2950
dolnośląskie;gm. Kotla;"=""020304""";5;3614;450
dolnośląskie;gm. Pęcław;"=""020305""";2;1788;1100
dolnośląskie;gm. Żukowice;"=""020306""";2;2799;360
dolnośląskie;gm. Góra;"=""020401""";13;16339;4165
dolnośląskie;gm. Jemielno;"=""020402""";3;2505;502
dolnośląskie;gm. Niechlów;"=""020403""";4;3973;3180
dolnośląskie;gm. Wąsosz;"=""020404""";5;5941;1459
dolnośląskie;m. Jawor;"=""020501""";12;19311;7040
dolnośląskie;gm. Bolków;"=""020502""";11;8694;1021
dolnośląskie;gm. Męcinka;"=""020503""";4;3350;520
dolnośląskie;gm. Mściwojów;"=""020504""";3;3316;750
dolnośląskie;gm. Paszowice;"=""020505""";2;3230;731
dolnośląskie;gm. Wądroże Wielkie;"=""020506""";2;3221;923
dolnośląskie;m. Karpacz;"=""020601""";5;4190;717
dolnośląskie;m. Kowary;"=""020602""";7;8943;3402
dolnośląskie;m. Piechowice;"=""020603""";4;5292;1868
dolnośląskie;m. Szklarska Poręba;"=""020604""";6;5474;4090
dolnośląskie;gm. Janowice Wielkie;"=""020605""";4;3453;417
dolnośląskie;gm. Jeżów Sudecki;"=""020606""";4;5705;260
dolnośląskie;gm. Mysłakowice;"=""020607""";7;8278;1096
dolnośląskie;gm. Podgórzyn;"=""020608""";6;5699;1596
dolnośląskie;gm. Stara Kamienica;"=""020609""";4;3765;2560
dolnośląskie;m. Kamienna Góra;"=""020701""";10;16363;2960
dolnośląskie;gm. Kamienna Góra;"=""020702""";7;7078;2200
dolnośląskie;gm. Lubawka;"=""020703""";7;9264;5500
dolnośląskie;gm. Marciszów;"=""020704""";7;3778;2890
dolnośląskie;m. Duszniki-Zdrój;"=""020801""";4;4021;1549
dolnośląskie;m. Kłodzko;"=""020802""";21;22308;13456
dolnośląskie;m. Kudowa-Zdrój;"=""020803""";7;8331;1648
dolnośląskie;m. Nowa Ruda;"=""020804""";16;19184;2903
dolnośląskie;m. Polanica-Zdrój;"=""020805""";3;5572;1906
dolnośląskie;gm. Bystrzyca Kłodzka;"=""020806""";16;15875;1110
dolnośląskie;gm. Kłodzko;"=""020807""";15;14030;5209
dolnośląskie;gm. Lądek-Zdrój;"=""020808""";7;7084;3352
dolnośląskie;gm. Lewin Kłodzki;"=""020809""";2;1629;300
dolnośląskie;gm. Międzylesie;"=""020810""";9;5986;1400
dolnośląskie;gm. Nowa Ruda;"=""020811""";15;9660;4831
dolnośląskie;gm. Radków;"=""020812""";7;7324;1428
dolnośląskie;gm. Stronie Śląskie;"=""020813""";6;6093;2073
dolnośląskie;gm. Szczytna;"=""020814""";6;5961;594
dolnośląskie;m. Chojnów;"=""020901""";6;11120;2848
dolnośląskie;gm. Chojnów;"=""020902""";8;7682;4900
dolnośląskie;gm. Krotoszyce;"=""020903""";3;2562;1355
dolnośląskie;gm. Kunice;"=""020904""";5;4990;2981
dolnośląskie;gm. Legnickie Pole;"=""020905""";5;3752;1250
dolnośląskie;gm. Miłkowice;"=""020906""";8;5199;1210
dolnośląskie;gm. Prochowice;"=""020907""";6;6066;1610
dolnośląskie;gm. Ruja;"=""020908""";2;2071;939
dolnośląskie;m. Lubań;"=""021001""";13;17818;6846
dolnośląskie;m. Świeradów-Zdrój;"=""021002""";4;3558;625
dolnośląskie;gm. Leśna;"=""021003""";8;8251;3201
dolnośląskie;gm. Lubań;"=""021004""";8;5260;2199
dolnośląskie;gm. Olszyna;"=""021005""";4;5393;3300
dolnośląskie;gm. Platerówka;"=""021006""";2;1329;615
dolnośląskie;gm. Siekierczyn;"=""021007""";3;3695;2050
dolnośląskie;m. Lubin;"=""021101""";46;59548;16009
dolnośląskie;gm. Lubin;"=""021102""";11;11761;4377
dolnośląskie;gm. Rudna;"=""021103""";7;6179;2161
dolnośląskie;gm. Ścinawa;"=""021104""";8;8176;3218
dolnośląskie;gm. Gryfów Śląski;"=""021201""";6;8552;5774
dolnośląskie;gm. Lubomierz;"=""021202""";6;4888;3410
dolnośląskie;gm. Lwówek Śląski;"=""021203""";13;14309;2842
dolnośląskie;gm. Mirsk;"=""021204""";5;7067;2650
dolnośląskie;gm. Wleń;"=""021205""";4;3570;1680
dolnośląskie;gm. Cieszków;"=""021301""";3;3743;1400
dolnośląskie;gm. Krośnice;"=""021302""";4;6423;1360
dolnośląskie;gm. Milicz;"=""021303""";21;19394;5410
dolnośląskie;m. Oleśnica;"=""021401""";21;30116;12081
dolnośląskie;gm. Bierutów;"=""021402""";7;8238;1700
dolnośląskie;gm. Dobroszyce;"=""021403""";3;5164;289
dolnośląskie;gm. Dziadowa Kłoda;"=""021404""";3;3654;450
dolnośląskie;gm. Międzybórz;"=""021405""";4;4012;2885
dolnośląskie;gm. Oleśnica;"=""021406""";8;10014;5291
dolnośląskie;gm. Syców;"=""021407""";9;13363;2430
dolnośląskie;gm. Twardogóra;"=""021408""";6;10480;1052
dolnośląskie;m. Oława;"=""021501""";17;25732;6200
dolnośląskie;gm. Domaniów;"=""021502""";6;4162;1004
dolnośląskie;gm. Jelcz-Laskowice;"=""021503""";13;18187;1045
dolnośląskie;gm. Oława;"=""021504""";12;11839;2362
dolnośląskie;gm. Chocianów;"=""021601""";11;10396;3464
dolnośląskie;gm. Gaworzyce;"=""021602""";4;4487;1700
dolnośląskie;gm. Grębocice;"=""021603""";4;4196;1162
dolnośląskie;gm. Polkowice;"=""021604""";16;21086;4582
dolnośląskie;gm. Przemków;"=""021605""";7;7015;1886
dolnośląskie;gm. Radwanice;"=""021606""";3;3738;588
dolnośląskie;gm. Borów;"=""021701""";3;4340;1740
dolnośląskie;gm. Kondratowice;"=""021702""";5;3696;753
dolnośląskie;gm. Przeworno;"=""021703""";6;4100;2500
dolnośląskie;gm. Strzelin;"=""021704""";14;17764;5519
dolnośląskie;gm. Wiązów;"=""021705""";5;6006;3049
dolnośląskie;gm. Kostomłoty;"=""021801""";4;5400;1257
dolnośląskie;gm. Malczyce;"=""021802""";4;4808;2250
dolnośląskie;gm. Miękinia;"=""021803""";8;10730;6071
dolnośląskie;gm. Środa Śląska;"=""021804""";9;14581;2636
dolnośląskie;gm. Udanin;"=""021805""";4;4466;1141
dolnośląskie;m. Świdnica;"=""021901""";23;47298;9396
dolnośląskie;m. Świebodzice;"=""021902""";21;20211;3952
dolnośląskie;gm. Dobromierz;"=""021903""";5;4353;3300
dolnośląskie;gm. Jaworzyna Śląska;"=""021904""";7;8978;1935
dolnośląskie;gm. Marcinowice;"=""021905""";8;5217;3400
dolnośląskie;gm. Strzegom;"=""021906""";25;21583;11965
dolnośląskie;gm. Świdnica;"=""021907""";10;13464;4692
dolnośląskie;gm. Żarów;"=""021908""";10;10199;1789
dolnośląskie;gm. Oborniki Śląskie;"=""022001""";12;15631;5697
dolnośląskie;gm. Prusice;"=""022002""";5;7547;3250
dolnośląskie;gm. Trzebnica;"=""022003""";16;18434;1837
dolnośląskie;gm. Wisznia Mała;"=""022004""";4;7811;400
dolnośląskie;gm. Zawonia;"=""022005""";3;6000;600
dolnośląskie;gm. Żmigród;"=""022006""";9;11874;1710
dolnośląskie;m. Boguszów-Gorce;"=""022101""";9;13011;3785
dolnośląskie;m. Jedlina-Zdrój;"=""022102""";5;3954;3800
dolnośląskie;m. Szczawno-Zdrój;"=""022103""";5;4831;670
dolnośląskie;gm. Czarny Bór;"=""022104""";5;3905;1005
dolnośląskie;gm. Głuszyca;"=""022105""";6;7417;440
